Провод,Наружный диаметр,Минимальный радиус изгиба,Диапазон рабочих температур,Ссылка,Расшифровка
"МПО 0,12","1,1 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+0%2C12,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  0,12: номинальное сечение жилы 0,12 мм2  "
"МПО 0,2","1,3 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+0%2C2,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  0,2: номинальное сечение жилы 0,2 мм2  "
"МПО 0,35","1,6 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+0%2C35,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  0,35: номинальное сечение жилы 0,35 мм2  "
"МПО 0,5","1,8 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+0%2C5,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  0,5: номинальное сечение жилы 0,5 мм2  "
"МПО 0,75","2,0 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+0%2C75,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  0,75: номинальное сечение жилы 0,75 мм2  "
"МПО 1,0","2,1 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+1%2C0,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  1,0: номинальное сечение жилы 1,0 мм2  "
"МПО 1,5","2,5 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+1%2C5,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  1,5: номинальное сечение жилы 1,5 мм2  "
"МПО 2,5","3,1 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+2%2C5,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  2,5: номинальное сечение жилы 2,5 мм2  "
"МПО 23-11 0,12","1,2 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+0%2C12,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,12: номинальное сечение жилы 0,12 мм2  "
"МПО 23-11 0,2","1,4 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+0%2C2,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,2: номинальное сечение жилы 0,2 мм2  "
"МПО 23-11 0,35","1,6 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+0%2C35,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,35: номинальное сечение жилы 0,35 мм2  "
"МПО 23-11 0,5","1,7 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+0%2C5,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,5: номинальное сечение жилы 0,5 мм2  "
"МПО 23-11 0,75","1,9 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+0%2C75,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,75: номинальное сечение жилы 0,75 мм2  "
"МПО 23-11 1,0","2,0 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+1%2C0,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  1,0: номинальное сечение жилы 1,0 мм2  "
"МПО 23-11 1,5","2,2 мм",5 наружных диаметров,−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+23-11+1%2C5,"М: провод монтажный  П: изоляция из полиэтилентерефталатной плёнки  О: защитная оплётка  2: номинальное напряжение 250 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  1,5: номинальное сечение жилы 1,5 мм2  "
"МПО 33-11 0,12","1,3 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+0%2C12,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,12: номинальное сечение жилы 0,12 мм2  "
"МПО 33-11 0,2","1,5 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+0%2C2,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,2: номинальное сечение жилы 0,2 мм2  "
"МПО 33-11 0,35","1,6 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+0%2C35,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,35: номинальное сечение жилы 0,35 мм2  "
"МПО 33-11 0,5","2,2 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+0%2C5,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,5: номинальное сечение жилы 0,5 мм2  "
"МПО 33-11 0,75","2,5 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+0%2C75,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  0,75: номинальное сечение жилы 0,75 мм2  "
"МПО 33-11 1,0","2,6 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+1%2C0,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  1,0: номинальное сечение жилы 1,0 мм2  "
"МПО 33-11 1,5","2,9 мм","2,5 наружных диаметра",−60...+120 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+33-11+1%2C5,"М: провод монтажный  П: изоляция из плёнки фторопласта-4  О: защитная оплётка  3: номинальное напряжение 500 В  3: максимальная температура 120 °C  1: жила нормальной прочности  1: номер разработки  1,5: номинальное сечение жилы 1,5 мм2  "
"МПО 4,0","3,8 мм","1,5 наружных диаметра",−60...+100 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%9F%D0%9E+4%2C0,"М: провод монтажный  ПО: изоляция из радиационносшитого (облучённого) полиэтилена  4,0: номинальное сечение жилы 4,0 мм2  "
