Провод,Наружный диаметр,Минимальный радиус изгиба,Диапазон рабочих температур,Ссылка,Расшифровка
"МГШВ 0,12","1,3 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92+0%2C12,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  0,12: номинальное сечение жилы 0,12 мм2  "
"МГШВ 0,14","1,4 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92+0%2C14,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  0,14: номинальное сечение жилы 0,14 мм2  "
"МГШВ 0,2","1,6 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92+0%2C2,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  0,2: номинальное сечение жилы 0,2 мм2  "
"МГШВ 0,35","1,9 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92+0%2C35,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  0,35: номинальное сечение жилы 0,35 мм2  "
"МГШВ 0,5","2,2 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92+0%2C5,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  0,5: номинальное сечение жилы 0,5 мм2  "
"МГШВ 0,75","2,5 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92+0%2C75,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  0,75: номинальное сечение жилы 0,75 мм2  "
"МГШВ 1,0","2,8 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92+1%2C0,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  1,0: номинальное сечение жилы 1,0 мм2  "
"МГШВ 1,5","3,0 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/catalog/search?query=%D0%9C%D0%93%D0%A8%D0%92+1%2C5,"М: провод монтажный  Г: гибкий  Ш: внутренняя изоляция из шёлка  В: изоляция из ПВХ пластиката  1,5: номинальное сечение жилы 1,5 мм2  "
"МГШВ-2 0,12","1,3 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/item/mgshv-2/mgshv-2-0-12,"провод монтажный  гибкий  модифицированная полимерная внутренняя изоляция с наполнителем  изоляция из ПВХ пластиката  номинальное сечение жилы 0,12 мм2  "
"МГШВ-2 0,2","1,6 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/item/mgshv-2/mgshv-2-0-2,"провод монтажный  гибкий  модифицированная полимерная внутренняя изоляция с наполнителем  изоляция из ПВХ пластиката  номинальное сечение жилы 0,2 мм2  "
"МГШВ-2 0,35","1,9 мм",5 наружных диаметров,−50...+70 °C,https://bystrokabel.ru/item/mgshv-2/mgshv-2-0-35,"провод монтажный  гибкий  модифицированная полимерная внутренняя изоляция с наполнителем  изоляция из ПВХ пластиката  номинальное сечение жилы 0,35 мм2  "
